PVM peer = seed.btc.petertodd.org:8333  version = 70015   user agent = /Satoshi:0.17.1/   time = 2020-04-11 21:20:12  now = 2020-04-11 21:20:13  since = 1.144801s  services = [12, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(212.92.117.225) = "212.92.117.225", V6(::ffff:212.92.117.225) = "::ffff:212.92.117.225" ]    port = 8333   time = 2020-04-03 21:42:17  now = 2020-04-11 21:20:42  since = 689905.982289s  services = [61, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(194.14.247.165) = "194.14.247.165", V6(::ffff:194.14.247.165) = "::ffff:194.14.247.165" ]    port = 8333   time = 2020-04-03 11:48:05  now = 2020-04-11 21:20:43  since = 725558.168535s  services = [61, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(95.174.105.225) = "ip-105-225.mlzone.ru", V6(::ffff:95.174.105.225) = "ip-105-225.mlzone.ru" ]    port = 8333   time = 2020-04-02 07:57:42  now = 2020-04-11 21:20:43  since = 825781.491745s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(185.65.134.181) = "185.65.134.181", V6(::ffff:185.65.134.181) = "::ffff:185.65.134.181" ]    port = 8333   time = 2020-04-03 16:29:32  now = 2020-04-11 21:20:43  since = 708671.764145s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(87.170.25.118) = "p57aa1976.dip0.t-ipconnect.de", V6(::ffff:87.170.25.118) = "p57aa1976.dip0.t-ipconnect.de" ]    port = 8333   time = 2020-03-17 05:37:11  now = 2020-04-11 21:20:44  since = 2216613.027236s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(254.214.16.51) = "254.214.16.51", V6(2a00:1398:4:2a03:215:5dff:fed6:1033) = "dsn-mg-bitcoinmon-i.scc.kit.edu" ]    port = 8333   time = 2020-04-08 12:01:50  now = 2020-04-11 21:20:44  since = 292734.559231s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(35.187.198.89) = "89.198.187.35.bc.googleusercontent.com", V6(::ffff:35.187.198.89) = "89.198.187.35.bc.googleusercontent.com" ]    port = 8333   time = 2020-04-11 07:20:11  now = 2020-04-11 21:20:44  since = 50433.740932s  services = [255, 4, 0, 8, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(1.2.3.32) = "1.2.3.32", V6(::ffff:1.2.3.32) = "::ffff:1.2.3.32" ]    port = 8333   time = 2020-04-05 11:00:46  now = 2020-04-11 21:20:44  since = 555598.843255s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(64.227.66.122) = "64.227.66.122", V6(::ffff:64.227.66.122) = "::ffff:64.227.66.122" ]    port = 8333   time = 2020-03-21 10:40:31  now = 2020-04-11 21:20:45  since = 1852814.465907s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PVM peer = 35.187.198.89:8333  version = 70015   user agent = /Satoshi:0.18.0/   time = 2020-04-11 21:20:45  now = 2020-04-11 21:20:45  since = 701.69ms  services = [13, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(74.76.49.136) = "cpe-74-76-49-136.nycap.res.rr.com", V6(::ffff:74.76.49.136) = "cpe-74-76-49-136.nycap.res.rr.com" ]    port = 8333   time = 2020-04-11 18:29:34  now = 2020-04-11 21:20:46  since = 10272.149313s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PVM peer = 74.76.49.136:8333  version = 70015   user agent = /Satoshi:0.19.0.1/   time = 2020-04-11 21:20:46  now = 2020-04-11 21:20:47  since = 1.14484s  services = [9, 4, 0, 0, 0, 0, 0, 0]
PAR address= [ V4(193.150.121.4) = "mail04.sigterm.no", V6(::ffff:193.150.121.4) = "mail04.sigterm.no" ]    port = 8333   time = 2020-04-10 02:38:53  now = 2020-04-11 21:20:47  since = 153714.247228s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(45.9.148.121) = "45.9.148.121", V6(::ffff:45.9.148.121) = "::ffff:45.9.148.121" ]    port = 8333   time = 2020-03-21 05:25:43  now = 2020-04-11 21:20:47  since = 1871704.64533s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(93.125.107.35) = "93.125.107.35", V6(::ffff:93.125.107.35) = "::ffff:93.125.107.35" ]    port = 8333   time = 2020-04-10 20:32:41  now = 2020-04-11 21:20:47  since = 89286.944339s  services = [13, 0, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(91.247.190.202) = "91.247.190.202", V6(2a02:810d:a83f:8664:1097:ee83:5bf7:beca) = "2a02:810d:a83f:8664:1097:ee83:5bf7:beca" ]    port = 8333   time = 2020-03-17 05:11:43  now = 2020-04-11 21:20:48  since = 2218145.300796s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(5.9.145.89) = "static.89.145.9.5.clients.your-server.de", V6(::ffff:5.9.145.89) = "static.89.145.9.5.clients.your-server.de" ]    port = 8333   time = 2020-04-11 00:07:16  now = 2020-04-11 21:20:49  since = 76413.617985s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(5.19.7.31) = "5x19x7x31.static-business.spb.ertelecom.ru", V6(::ffff:5.19.7.31) = "5x19x7x31.static-business.spb.ertelecom.ru" ]    port = 8333   time = 2020-04-03 15:06:23  now = 2020-04-11 21:20:50  since = 713667.253344s  services = [9, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(74.119.146.41) = "41.146.119.74.wiredns.net", V6(::ffff:74.119.146.41) = "41.146.119.74.wiredns.net" ]    port = 8333   time = 2020-04-06 04:34:51  now = 2020-04-11 21:20:50  since = 492359.599619s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(195.201.60.234) = "static.234.60.201.195.clients.your-server.de", V6(::ffff:195.201.60.234) = "static.234.60.201.195.clients.your-server.de" ]    port = 8333   time = 2020-04-01 19:46:50  now = 2020-04-11 21:20:50  since = 869640.885493s  services = [61, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
PAR address= [ V4(73.89.35.108) = "c-73-89-35-108.hsd1.nh.comcast.net", V6(::ffff:73.89.35.108) = "c-73-89-35-108.hsd1.nh.comcast.net" ]    port = 8333   time = 2020-04-10 21:47:51  now = 2020-04-11 21:20:51  since = 84780.156267s  services = [13, 4, 0, 0, 0, 0, 0, 0]     target address = seed.btc.petertodd.org:8333
